sezona,prvak,mvp,mvp_goli,mvp_asistence,mvp_tocke,mvp_zmage,mvp_porazi,mvp_otl,mvp_gaa,najboljsi_strelec,najboljsi_strelec_tocke
2000,New Jersey Devils,Chris Pronger,14,48,62,,,,,Jaromír Jágr,96
2001,Colorado Avalanche,Joe Sakic,54,64,118,,,,,Jaromír Jágr,121
2002,Detroit Red Wings,José Théodore,,,,30,24,10,2.11,Jarome Iginla,96
2003,New Jersey Devils,Peter Forsberg,29,77,106,,,,,Peter Forsberg,106
2004,Tampa Bay Lightning,Martin St. Louis,38,56,94,,,,,Martin St. Louis,94
2005,,,,,,,,,,,
2006,Carolina Hurricanes,Joe Thornton,29,96,125,,,,,Joe Thornton,125
2007,Anaheim Ducks,Sidney Crosby,36,84,120,,,,,Sidney Crosby,120
2008,Detroit Red Wings,Alex Ovechkin,65,47,112,,,,,Alex Ovechkin,112
2009,Pittsburgh Penguins,Alex Ovechkin,56,54,110,,,,,Evgeni Malkin,113
2010,Chicago Blackhawks,Henrik Sedin,29,83,112,,,,,Henrik Sedin,112
2011,Boston Bruins,Corey Perry,50,48,98,,,,,Daniel Sedin,104
2012,Los Angeles Kings,Evgeni Malkin,50,59,109,,,,,Evgeni Malkin,109
2013,Chicago Blackhawks,Alex Ovechkin,32,24,56,,,,,Martin St. Louis,60
2014,Los Angeles Kings,Sidney Crosby,36,68,104,,,,,Sidney Crosby,104
2015,Chicago Blackhawks,Carey Price,,,,44,16,6,1.96,Jamie Benn,87
2016,Pittsburgh Penguins,Patrick Kane,46,60,106,,,,,Patrick Kane,106
2017,Pittsburgh Penguins,Connor McDavid,30,70,100,,,,,Connor McDavid,100
2018,Washington Capitals,Taylor Hall,39,54,93,,,,,Connor McDavid,108
2019,St. Louis Blues,Nikita Kucherov,41,87,128,,,,,Nikita Kucherov,128
2020,Tampa Bay Lightning,Leon Draisaitl,43,67,110,,,,,Leon Draisaitl,110
2021,Tampa Bay Lightning,Connor McDavid,33,72,105,,,,,Connor McDavid,105
2022,Colorado Avalanche,Auston Matthews,60,46,106,,,,,Connor McDavid,123
2023,Vegas Golden Knights,Connor McDavid,64,89,153,,,,,Connor McDavid,153
2024,Florida Panthers,Nathan MacKinnon,51,89,140,,,,,Nikita Kucherov,144
